#Example csv file
# Begin: Backend
# Begin: Admin Menu and Titles
sales_invoices_vat;VAT Quote:
sales_invoices_criterion_no;Criterion<br /> no.:
sales_invoices_description;Description of products or services
sales_invoices_m_u;M.U.
sales_invoices_quantity;Quantity
sales_invoices_unit_price;Unit price
sales_invoices_without_vat;(without VAT)
sales_invoices_value;Value
sales_invoices_vat_value;VAT value
sales_invoices_discount;discount
sales_invoices_repayment;repayment
sales_invoices_pieces;piece
sales_invoices_supplier_signature_seal;Signature and seal of the supplier
sales_invoices_prepared_by;Prepared by:
sales_invoices_cnp;Personal code:
sales_invoices_name;Delegate name:
sales_invoices_c_i;ID number:
sales_invoices_shipping;Shipping was done in our presence on ............................ hour ............
sales_invoices_signatures;Signatures:
sales_invoices_signature_of_receipt;Signature of receipt:
sales_invoices_total;Total
sales_invoices_total_amounts;Total amounts
# End: invoices
# Begin: Wishlists
sales_wishlists_table_name;Name
sales_wishlists_table_customer;Customer
sales_wishlists_table_created;Created
sales_wishlists_table_actions;Actions

sales_wishlists_table_details;Details
sales_wishlists_table_delete;Delete

sales_wishlists_message_delete;Are you sure that you want to delete this wishlist?
sales_wishlists_message_else;There are no wishlists
# End: Wishlists
# Begin: Wishlist details
sales_wishlist_details_text_view_wishlist;View wishlist
sales_wishlist_details_text_created_on;Created on
sales_wishlist_details_text_by;by

sales_wishlist_details_table_product;Product
sales_wishlist_details_table_quantity;Quantity
sales_wishlist_details_table_price;Price
sales_wishlist_details_table_total_price;Total Price
# End: Wishlist details
# End: Sales Controller

# Begin: Customers Controller
customers_create_success;Customer was successfully created!
customers_create_error;Error creating customer!
customers_edit_success;Customer successfully modified!
customers_edit_error_1;Error modifying customer!
customers_edit_error_2;Invalid customer selected!
customers_visible_success;Status was successfully changed!
customers_visible_error;Error status change!
customers_delete_success;Customer successfully deleted!
customers_delete_error;Error deleting customer!
customers_add_group_success;Group successfully created!
customers_add_group_error;Error creating group!
customers_edit_group_success;Group successfully modified!
customers_edit_group_error_1;Error modifying group!
customers_edit_group_error_2;Invalid group selected!
customers_delete_group_success;Group successfully deleted!
customers_delete_group_error;Error deleting group!
customers_search_customer_error;Your search returned no results!

# Begin: Index
customers_index_create_operator;Create operator account

customers_index_table_username;Username
customers_index_table_name;Name
customers_index_table_email;Email
customers_index_table_access_level;Access level
customers_index_table_status;Status
customers_index_table_datetime;Registered
customers_index_table_modified;Modified
customers_index_table_last_login;Last login
customers_index_table_actions;Actions

customers_index_table_administrator;Administrator
customers_index_table_customer;Customer

customers_index_table_active;Active
customers_index_table_inactive;Inactive

customers_index_table_details;Details
customers_index_table_edit;Edit
customers_index_table_delete;Delete

customers_index_message_status_change;Are you sure that you want to change this members customer status?
customers_index_message_delete;Are you sure that you want to delete this customer?

customers_index_else;There are no registered customers
# End: Index
# Begin: Inactive
customers_inactive_table_username;Username
customers_inactive_table_name;Name
customers_inactive_table_email;Email
customers_inactive_table_access_level;Access level
customers_inactive_table_status;Status
customers_inactive_table_datetime;Registered
customers_inactive_table_modified;Modified
customers_inactive_table_actions;Actions

customers_inactive_table_administrator;Administrator
customers_inactive_table_customer;Customer

customers_inactive_table_active;Active
customers_inactive_table_inactive;Inactive

customers_inactive_table_details;Details
customers_inactive_table_edit;Edit
customers_inactive_table_delete;Delete

customers_inactive_message_status_change;Are you sure that you want to change this members customer status?
customers_inactive_message_delete;Are you sure that you want to delete this customer?

customers_inactive_else;There are no inactive customers
# End: Inactive
# Begin: Details
customers_details_title_account_details;Account details

customers_details_table_title_customer_information;Customer information
customers_details_table_username;Username
customers_details_table_name;Name
customers_details_table_cnp;Personal code
