#Example csv file
# Begin: Backend
# Begin: Admin Menu and Titles
sales_invoices_message_else;Nu există facturi

sales_invoices_invoice;Factură
sales_invoices_print;imprimare
sales_invoices_supplier;Furnizor:
sales_invoices_buyer;Client:
sales_invoices_trade_register;Reg. Com.:
sales_invoices_address;Adresă:
sales_invoices_county;Judeţ:
sales_invoices_iban;Cod IBAN:
sales_invoices_bank;Bancă:
sales_invoices_series;Seria: 1, nr.:
sales_invoices_date;Data:
sales_invoices_vat;Cota TVA:
sales_invoices_criterion_no;Nr. <br /> Crt
sales_invoices_description;Denumirea produselor sau a serviciilor
sales_invoices_m_u;U.M.
sales_invoices_quantity;Cant.
sales_invoices_unit_price;Preţ unitar
sales_invoices_without_vat;(fără TVA)
sales_invoices_value;Valoare
sales_invoices_vat_value;Valoare TVA
sales_invoices_discount;reducere
sales_invoices_repayment;ramburs
sales_invoices_pieces;buc
sales_invoices_supplier_signature_seal;Semnătura şi ştampila <br /> furnizorului
sales_invoices_prepared_by;Intocmit de:
sales_invoices_cnp;CNP:
sales_invoices_name;Nume delegat:
sales_invoices_c_i;B.I/C.I:
sales_invoices_shipping;Expedierea s-a făcut în prezenţa noastră la data de ............................ ora ............
sales_invoices_signatures;Semnaturile:
sales_invoices_signature_of_receipt;Semnătura de primire:
sales_invoices_total;Total
sales_invoices_total_amounts;Total plată
# End: invoices
# Begin: Wishlists
sales_wishlists_table_name;Nume
sales_wishlists_table_customer;Client
sales_wishlists_table_created;Creat
sales_wishlists_table_actions;Acţiuni

sales_wishlists_table_details;Detalii
sales_wishlists_table_delete;Sterge

sales_wishlists_message_delete;Sunteţi sigur că doriţi să ştergeţi lista de dorinţe?
sales_wishlists_message_else;Nu există liste de dorinţe
# End: Wishlists
# Begin: Wishlist details
sales_wishlist_details_text_view_wishlist;Vezi lista de dorinţe
sales_wishlist_details_text_created_on;Creată în
sales_wishlist_details_text_by;de

sales_wishlist_details_table_product;Produs
sales_wishlist_details_table_quantity;Cantitate
sales_wishlist_details_table_price;Preţ
sales_wishlist_details_table_total_price;Preţ Total
# End: Wishlist details
# End: Sales Controller

# Begin: Customers Controller
customers_create_success;Clientul a fost creat cu succes!
customers_create_error;Eroare la crearea clientului!
customers_edit_success;Clientul a fost modificat cu succes!
customers_edit_error_1;Eroare la modificarea clientului!
customers_edit_error_2;Clientul selectat este invalid;
customers_visible_success;Statusul a fost schimbat cu succes!
customers_visible_error;Eroare la schimbarea statusului!
customers_delete_success;Clientul a fost şters cu succes!
customers_delete_error;Eroare la ştergerea clientului!
customers_add_group_success;Grupul a fost creat cu succes!
customers_add_group_error;Eroare la crearea grupului!
customers_edit_group_success;Groupul a fost modificat cu succes!
customers_edit_group_error_1;Eroare la modificarea grupului!
customers_edit_group_error_2;Grupul selectat este invalid!
customers_delete_group_success;Grupul a fost şters cu succes!
customers_delete_group_error;Eroare la ştergerea grupului!
customers_search_customer_error;Căutarea ta nu a returnat nici un rezultat!

# Begin: Index
customers_index_create_operator;Crează cont de operator

customers_index_table_username;Nume de utilizator
customers_index_table_name;Nume
customers_index_table_email;Email
customers_index_table_access_level;Nivelul de acces
customers_index_table_status;Status
customers_index_table_datetime;Inregistrat
customers_index_table_modified;Modificat
customers_index_table_last_login;Ultima logare
customers_index_table_actions;Acţiuni

customers_index_table_administrator;Administrator
customers_index_table_customer;Client

customers_index_table_active;Activ
customers_index_table_inactive;Inactiv

customers_index_table_details;Detalii
customers_index_table_edit;Modifică
customers_index_table_delete;Sterge

customers_index_message_status_change;Sunteţi sigur că doriţi să modificaţi statusul acestui client?
customers_index_message_delete;Sunteţi sigur că doriţi să stergeţi acest client?

customers_index_else;Nu există clienţi înregistraţi
# End: Index
# Begin: Inactive
customers_inactive_table_username;Nume de utilizator
customers_inactive_table_name;Nume
customers_inactive_table_email;Email
customers_inactive_table_access_level;Nivelul de acces
customers_inactive_table_status;Status
customers_inactive_table_datetime;Inregistrat
customers_inactive_table_modified;Modificat
customers_inactive_table_actions;Acţiuni

customers_inactive_table_administrator;Administrator
customers_inactive_table_customer;Client

customers_inactive_table_active;Activ
customers_inactive_table_inactive;Inactiv

customers_inactive_table_details;Detalii
customers_inactive_table_edit;Modifică
customers_inactive_table_delete;Sterge

customers_inactive_message_status_change;Sunteţi sigur că doriţi să modificaţi statusul acestui client?
customers_inactive_message_delete;Sunteţi sigur că doriţi să stergeţi acest client?

customers_inactive_else;Nu există clienţi înregistraţi
# End: Inactive
# Begin: Details
customers_details_title_account_details;Detalii client

customers_details_table_title_customer_information;Informaţii de bază
customers_details_table_username;Nume de utilizator
customers_details_table_name;Nume
customers_details_table_cnp;CNP
customers_details_table_serie;Serie buletin
customers_details_table_email;Email
customers_details_table_member_since;Membru din

customers_details_table_title_company_information;Detalii Companie
customers_details_table_company;Companie
customers_details_table_fiscal_code;Cod fiscal
customers_details_table_trade_register;Registrul comerţului
customers_details_table_bank;Banca
customers_details_table_iban_code;Cod IBAN
customers_details_table_function;Funcţia
customers_details_table_department;Departamentul

customers_details_table_title_contact_information;Date de contact
customers_details_table_address;Adresa
customers_details_table_address_2;Adresa 2
customers_details_table_country;Tara
customers_details_table_county;Judeţ
customers_details_table_city;Oraş
customers_details_table_zip;Cod poştal
customers_details_table_phone;Telefon
customers_details_table_phone_2;Telefon 2
customers_details_table_fax;Fax

customers_details_table_title_shipping_information;Detalii de livrare

customers_create_table_individual;Persoană Fizică
customers_create_table_legal_person;Persoană Juridică
# End: Details
# Begin: Create / Edit
customers_create_title_customer;Client
customers_create_title_basic;General
customers_create_title_company;Companie
customers_create_title_contact;Contact
